"state","crime","incidents","victims"
"Puducherry","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Andhra Pradesh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",163,163
"Arunachal Pradesh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",19,19
"Assam","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",4706,4706
"Bihar","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",4323,4324
"Chhattisgarh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",359,360
"Goa","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Gujarat","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1143,1149
"Haryana","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",818,821
"Himachal Pradesh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",165,171
"Jammu & Kashmir","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",197,197
"Jharkhand","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",616,616
"Karnataka","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",178,178
"Kerala","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",55,56
"Madhya Pradesh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1975,1978
"Maharashtra","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1038,1050
"Manipur","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",75,77
"Meghalaya","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",7,7
"Mizoram","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1,1
"Nagaland","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1,1
"Odisha","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",772,772
"Punjab","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",960,966
"Rajasthan","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1979,1979
"Sikkim","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Tamil Nadu","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",791,793
"Telangana","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",260,261
"Tripura","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",62,62
"Uttar Pradesh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",12070,12085
"Uttarakhand","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",56,56
"West Bengal","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",884,884
"A & N Islands","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Chandigarh","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",55,60
"D&N Haveli","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Daman & Diu","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",1,1
"Delhi","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",3,3
"Lakshadweep","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Puducherry","Kidnapping- Abduction- K- A of Women to Compel her for Marriage etc-Sec 366 IPC",0,0
"Andhra Pradesh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",211,216
"Arunachal Pradesh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",52,59
"Assam","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",822,824
"Bihar","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",2041,2045
"Chhattisgarh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",346,356
"Goa","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",14,19
"Gujarat","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",342,358
"Haryana","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",2928,3008
"Himachal Pradesh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",52,56
"Jammu & Kashmir","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",290,290
"Jharkhand","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",453,492
"Karnataka","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",389,399
"Kerala","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",99,104
"Madhya Pradesh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",1306,1321
"Maharashtra","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",1132,1196
"Manipur","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",53,64
"Meghalaya","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",68,78
"Mizoram","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",0,0
"Nagaland","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",14,14
"Odisha","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",668,668
"Punjab","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",549,591
"Rajasthan","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",2137,2158
"Sikkim","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",5,5
"Tamil Nadu","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",216,219
"Telangana","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",313,321
"Tripura","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",25,26
"Uttar Pradesh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",427,427
"Uttarakhand","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",618,622
"West Bengal","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",2653,2805
"A & N Islands","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",1,1
"Chandigarh","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",16,16
"D&N Haveli","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",0,0
"Daman & Diu","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",1,1
"Delhi","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",662,705
"Lakshadweep","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",0,0
"Puducherry","Kidnapping- Abduction- K- A for Other Reasons-Sec 363A-365-366A-366B-367-368-369 IPC",3,3
"Andhra Pradesh","Human Trafficking-Sec-370-370A IPC",32,39
"Arunachal Pradesh","Human Trafficking-Sec-370-370A IPC",1,1
"Assam","Human Trafficking-Sec-370-370A IPC",90,111
"Bihar","Human Trafficking-Sec-370-370A IPC",25,76
"Chhattisgarh","Human Trafficking-Sec-370-370A IPC",46,177
"Goa","Human Trafficking-Sec-370-370A IPC",35,75
"Gujarat","Human Trafficking-Sec-370-370A IPC",0,0
"Haryana","Human Trafficking-Sec-370-370A IPC",12,12
"Himachal Pradesh","Human Trafficking-Sec-370-370A IPC",0,0
"Jammu & Kashmir","Human Trafficking-Sec-370-370A IPC",0,0
"Jharkhand","Human Trafficking-Sec-370-370A IPC",160,203
"Karnataka","Human Trafficking-Sec-370-370A IPC",20,45
"Kerala","Human Trafficking-Sec-370-370A IPC",24,257
"Madhya Pradesh","Human Trafficking-Sec-370-370A IPC",54,59
"Maharashtra","Human Trafficking-Sec-370-370A IPC",18,61
"Manipur","Human Trafficking-Sec-370-370A IPC",2,2
"Meghalaya","Human Trafficking-Sec-370-370A IPC",1,1
"Mizoram","Human Trafficking-Sec-370-370A IPC",0,0
"Nagaland","Human Trafficking-Sec-370-370A IPC",0,0
"Odisha","Human Trafficking-Sec-370-370A IPC",110,183
"Punjab","Human Trafficking-Sec-370-370A IPC",14,28
"Rajasthan","Human Trafficking-Sec-370-370A IPC",4,4
"Sikkim","Human Trafficking-Sec-370-370A IPC",0,0
"Tamil Nadu","Human Trafficking-Sec-370-370A IPC",12,13
"Telangana","Human Trafficking-Sec-370-370A IPC",41,139
"Tripura","Human Trafficking-Sec-370-370A IPC",1,8
"Uttar Pradesh","Human Trafficking-Sec-370-370A IPC",43,48
"Uttarakhand","Human Trafficking-Sec-370-370A IPC",6,6
"West Bengal","Human Trafficking-Sec-370-370A IPC",133,263
"A & N Islands","Human Trafficking-Sec-370-370A IPC",0,0
"Chandigarh","Human Trafficking-Sec-370-370A IPC",1,1
"D&N Haveli","Human Trafficking-Sec-370-370A IPC",0,0
"Daman & Diu","Human Trafficking-Sec-370-370A IPC",2,4
"Delhi","Human Trafficking-Sec-370-370A IPC",31,166
"Lakshadweep","Human Trafficking-Sec-370-370A IPC",0,0
"Puducherry","Human Trafficking-Sec-370-370A IPC",0,0
"Andhra Pradesh","Rape- Rape-Sec 376 IPC",979,980
"Arunachal Pradesh","Rape- Rape-Sec 376 IPC",90,90
"Assam","Rape- Rape-Sec 376 IPC",1748,1748
"Bihar","Rape- Rape-Sec 376 IPC",1000,1000
"Chhattisgarh","Rape- Rape-Sec 376 IPC",1572,1573
"Goa","Rape- Rape-Sec 376 IPC",61,61
"Gujarat","Rape- Rape-Sec 376 IPC",966,970
"Haryana","Rape- Rape-Sec 376 IPC",996,998
"Himachal Pradesh","Rape- Rape-Sec 376 IPC",248,254
"Jammu & Kashmir","Rape- Rape-Sec 376 IPC",255,255
"Jharkhand","Rape- Rape-Sec 376 IPC",1032,1033
"Karnataka","Rape- Rape-Sec 376 IPC",1635,1650
"Kerala","Rape- Rape-Sec 376 IPC",1637,1642
"Madhya Pradesh","Rape- Rape-Sec 376 IPC",4656,4682
"Maharashtra","Rape- Rape-Sec 376 IPC",4093,4120
"Manipur","Rape- Rape-Sec 376 IPC",55,55
"Meghalaya","Rape- Rape-Sec 376 IPC",188,190
"Mizoram","Rape- Rape-Sec 376 IPC",20,20
"Nagaland","Rape- Rape-Sec 376 IPC",25,25
"Odisha","Rape- Rape-Sec 376 IPC",1899,1900
"Punjab","Rape- Rape-Sec 376 IPC",808,810
"Rajasthan","Rape- Rape-Sec 376 IPC",3291,3291
"Sikkim","Rape- Rape-Sec 376 IPC",92,98
"Tamil Nadu","Rape- Rape-Sec 376 IPC",316,317
"Telangana","Rape- Rape-Sec 376 IPC",1263,1263
"Tripura","Rape- Rape-Sec 376 IPC",203,203
"Uttar Pradesh","Rape- Rape-Sec 376 IPC",4129,4129
"Uttarakhand","Rape- Rape-Sec 376 IPC",334,334
"West Bengal","Rape- Rape-Sec 376 IPC",980,980
"A & N Islands","Rape- Rape-Sec 376 IPC",30,30
"Chandigarh","Rape- Rape-Sec 376 IPC",65,66
"D&N Haveli","Rape- Rape-Sec 376 IPC",14,14
"Daman & Diu","Rape- Rape-Sec 376 IPC",11,11
"Delhi","Rape- Rape-Sec 376 IPC",2069,2079
"Lakshadweep","Rape- Rape-Sec 376 IPC",5,5
"Puducherry","Rape- Rape-Sec 376 IPC",5,5
"Andhra Pradesh","Rape- Gang Rape-Sec 376D IPC",15,15
"Arunachal Pradesh","Rape- Gang Rape-Sec 376D IPC",2,2
"Assam","Rape- Gang Rape-Sec 376D IPC",31,31
"Bihar","Rape- Gang Rape-Sec 376D IPC",8,8
"Chhattisgarh","Rape- Gang Rape-Sec 376D IPC",54,54
"Goa","Rape- Gang Rape-Sec 376D IPC",0,0
"Gujarat","Rape- Gang Rape-Sec 376D IPC",14,14
"Haryana","Rape- Gang Rape-Sec 376D IPC",191,191
"Himachal Pradesh","Rape- Gang Rape-Sec 376D IPC",4,4
"Jammu & Kashmir","Rape- Gang Rape-Sec 376D IPC",1,1
"Jharkhand","Rape- Gang Rape-Sec 376D IPC",77,77
"Karnataka","Rape- Gang Rape-Sec 376D IPC",20,21
"Kerala","Rape- Gang Rape-Sec 376D IPC",19,19
"Madhya Pradesh","Rape- Gang Rape-Sec 376D IPC",226,226
"Maharashtra","Rape- Gang Rape-Sec 376D IPC",96,96
"Manipur","Rape- Gang Rape-Sec 376D IPC",0,0
"Meghalaya","Rape- Gang Rape-Sec 376D IPC",2,4
"Mizoram","Rape- Gang Rape-Sec 376D IPC",2,2
"Nagaland","Rape- Gang Rape-Sec 376D IPC",1,1
"Odisha","Rape- Gang Rape-Sec 376D IPC",84,84
"Punjab","Rape- Gang Rape-Sec 376D IPC",30,30
"Rajasthan","Rape- Gang Rape-Sec 376D IPC",365,366
"Sikkim","Rape- Gang Rape-Sec 376D IPC",0,0
"Tamil Nadu","Rape- Gang Rape-Sec 376D IPC",3,3
"Telangana","Rape- Gang Rape-Sec 376D IPC",15,15
"Tripura","Rape- Gang Rape-Sec 376D IPC",4,4
"Uttar Pradesh","Rape- Gang Rape-Sec 376D IPC",682,682
"Uttarakhand","Rape- Gang Rape-Sec 376D IPC",2,2
"West Bengal","Rape- Gang Rape-Sec 376D IPC",130,130
"A & N Islands","Rape- Gang Rape-Sec 376D IPC",0,0
"Chandigarh","Rape- Gang Rape-Sec 376D IPC",3,3
"D&N Haveli","Rape- Gang Rape-Sec 376D IPC",0,0
"Daman & Diu","Rape- Gang Rape-Sec 376D IPC",1,1
"Delhi","Rape- Gang Rape-Sec 376D IPC",85,85
"Lakshadweep","Rape- Gang Rape-Sec 376D IPC",0,0
"Puducherry","Rape- Gang Rape-Sec 376D IPC",0,0
"Andhra Pradesh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Arunachal Pradesh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Assam","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Bihar","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Chhattisgarh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Goa","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Gujarat","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",2,2
"Haryana","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Himachal Pradesh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Jammu & Kashmir","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Jharkhand","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Karnataka","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Kerala","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Madhya Pradesh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Maharashtra","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Manipur","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Meghalaya","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Mizoram","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",1,1
"Nagaland","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Odisha","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Punjab","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Rajasthan","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Sikkim","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Tamil Nadu","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Telangana","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Tripura","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Uttar Pradesh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",5,6
"Uttarakhand","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"West Bengal","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"A & N Islands","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Chandigarh","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"D&N Haveli","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Daman & Diu","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Delhi","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",1,6
"Lakshadweep","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",0,0
"Puducherry","Rape- Custodial Rape-Sec 376C-376 2 A-376 2 D IPC-",1,1
"Andhra Pradesh","Attempt to Commit Rape-Sec 376 r w 511 IPC",190,190
"Arunachal Pradesh","Attempt to Commit Rape-Sec 376 r w 511 IPC",15,15
"Assam","Attempt to Commit Rape-Sec 376 r w 511 IPC",370,370
"Bihar","Attempt to Commit Rape-Sec 376 r w 511 IPC",321,321
"Chhattisgarh","Attempt to Commit Rape-Sec 376 r w 511 IPC",20,20
"Goa","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Gujarat","Attempt to Commit Rape-Sec 376 r w 511 IPC",5,5
"Haryana","Attempt to Commit Rape-Sec 376 r w 511 IPC",137,137
"Himachal Pradesh","Attempt to Commit Rape-Sec 376 r w 511 IPC",3,3
"Jammu & Kashmir","Attempt to Commit Rape-Sec 376 r w 511 IPC",17,17
"Jharkhand","Attempt to Commit Rape-Sec 376 r w 511 IPC",179,179
"Karnataka","Attempt to Commit Rape-Sec 376 r w 511 IPC",16,16
"Kerala","Attempt to Commit Rape-Sec 376 r w 511 IPC",42,42
"Madhya Pradesh","Attempt to Commit Rape-Sec 376 r w 511 IPC",63,64
"Maharashtra","Attempt to Commit Rape-Sec 376 r w 511 IPC",12,12
"Manipur","Attempt to Commit Rape-Sec 376 r w 511 IPC",3,3
"Meghalaya","Attempt to Commit Rape-Sec 376 r w 511 IPC",15,15
"Mizoram","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Nagaland","Attempt to Commit Rape-Sec 376 r w 511 IPC",3,3
"Odisha","Attempt to Commit Rape-Sec 376 r w 511 IPC",161,161
"Punjab","Attempt to Commit Rape-Sec 376 r w 511 IPC",95,95
"Rajasthan","Attempt to Commit Rape-Sec 376 r w 511 IPC",340,340
"Sikkim","Attempt to Commit Rape-Sec 376 r w 511 IPC",2,3
"Tamil Nadu","Attempt to Commit Rape-Sec 376 r w 511 IPC",17,17
"Telangana","Attempt to Commit Rape-Sec 376 r w 511 IPC",44,44
"Tripura","Attempt to Commit Rape-Sec 376 r w 511 IPC",16,17
"Uttar Pradesh","Attempt to Commit Rape-Sec 376 r w 511 IPC",1958,1958
"Uttarakhand","Attempt to Commit Rape-Sec 376 r w 511 IPC",6,6
"West Bengal","Attempt to Commit Rape-Sec 376 r w 511 IPC",1646,1646
"A & N Islands","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Chandigarh","Attempt to Commit Rape-Sec 376 r w 511 IPC",4,4
"D&N Haveli","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Daman & Diu","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Delhi","Attempt to Commit Rape-Sec 376 r w 511 IPC",29,29
"Lakshadweep","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Puducherry","Attempt to Commit Rape-Sec 376 r w 511 IPC",0,0
"Andhra Pradesh","Unnatural Offences-Sec 377 IPC",7,7
"Arunachal Pradesh","Unnatural Offences-Sec 377 IPC",2,2
"Assam","Unnatural Offences-Sec 377 IPC",14,14
"Bihar","Unnatural Offences-Sec 377 IPC",24,24
"Chhattisgarh","Unnatural Offences-Sec 377 IPC",22,22
"Goa","Unnatural Offences-Sec 377 IPC",1,1
"Gujarat","Unnatural Offences-Sec 377 IPC",37,41
"Haryana","Unnatural Offences-Sec 377 IPC",120,120
"Himachal Pradesh","Unnatural Offences-Sec 377 IPC",14,14
"Jammu & Kashmir","Unnatural Offences-Sec 377 IPC",23,23
"Jharkhand","Unnatural Offences-Sec 377 IPC",7,7
"Karnataka","Unnatural Offences-Sec 377 IPC",8,8
"Kerala","Unnatural Offences-Sec 377 IPC",207,207
"Madhya Pradesh","Unnatural Offences-Sec 377 IPC",128,128
"Maharashtra","Unnatural Offences-Sec 377 IPC",167,170
"Manipur","Unnatural Offences-Sec 377 IPC",0,0
"Meghalaya","Unnatural Offences-Sec 377 IPC",0,0
"Mizoram","Unnatural Offences-Sec 377 IPC",0,0
"Nagaland","Unnatural Offences-Sec 377 IPC",0,0
"Odisha","Unnatural Offences-Sec 377 IPC",33,33
"Punjab","Unnatural Offences-Sec 377 IPC",89,89
"Rajasthan","Unnatural Offences-Sec 377 IPC",33,33
"Sikkim","Unnatural Offences-Sec 377 IPC",2,2
"Tamil Nadu","Unnatural Offences-Sec 377 IPC",0,0
"Telangana","Unnatural Offences-Sec 377 IPC",11,11
"Tripura","Unnatural Offences-Sec 377 IPC",1,1
"Uttar Pradesh","Unnatural Offences-Sec 377 IPC",999,999
"Uttarakhand","Unnatural Offences-Sec 377 IPC",8,8
"West Bengal","Unnatural Offences-Sec 377 IPC",39,39
"A & N Islands","Unnatural Offences-Sec 377 IPC",0,0
"Chandigarh","Unnatural Offences-Sec 377 IPC",8,8
"D&N Haveli","Unnatural Offences-Sec 377 IPC",0,0
"Daman & Diu","Unnatural Offences-Sec 377 IPC",1,1
"Delhi","Unnatural Offences-Sec 377 IPC",182,183
"Lakshadweep","Unnatural Offences-Sec 377 IPC",0,0
"Puducherry","Unnatural Offences-Sec 377 IPC",0,0
"Andhra Pradesh","Sedition-Sec 124A IPC",1,1
"Arunachal Pradesh","Sedition-Sec 124A IPC",0,0
"Assam","Sedition-Sec 124A IPC",0,0
"Bihar","Sedition-Sec 124A IPC",0,0
"Chhattisgarh","Sedition-Sec 124A IPC",0,0
"Goa","Sedition-Sec 124A IPC",0,0
"Gujarat","Sedition-Sec 124A IPC",0,0
"Haryana","Sedition-Sec 124A IPC",12,12
"Himachal Pradesh","Sedition-Sec 124A IPC",1,1
"Jammu & Kashmir","Sedition-Sec 124A IPC",0,0
"Jharkhand","Sedition-Sec 124A IPC",0,0
"Karnataka","Sedition-Sec 124A IPC",3,3
"Kerala","Sedition-Sec 124A IPC",3,3
"Madhya Pradesh","Sedition-Sec 124A IPC",2,2
"Maharashtra","Sedition-Sec 124A IPC",0,0
"Manipur","Sedition-Sec 124A IPC",0,0
"Meghalaya","Sedition-Sec 124A IPC",0,0
"Mizoram","Sedition-Sec 124A IPC",0,0
"Nagaland","Sedition-Sec 124A IPC",0,0
"Odisha","Sedition-Sec 124A IPC",1,1
"Punjab","Sedition-Sec 124A IPC",0,0
"Rajasthan","Sedition-Sec 124A IPC",1,1
"Sikkim","Sedition-Sec 124A IPC",0,0
"Tamil Nadu","Sedition-Sec 124A IPC",0,0
"Telangana","Sedition-Sec 124A IPC",2,2
"Tripura","Sedition-Sec 124A IPC",0,0
"Uttar Pradesh","Sedition-Sec 124A IPC",6,6
"Uttarakhand","Sedition-Sec 124A IPC",0,0
"West Bengal","Sedition-Sec 124A IPC",1,1
"A & N Islands","Sedition-Sec 124A IPC",0,0
"Chandigarh","Sedition-Sec 124A IPC",0,0
"D&N Haveli","Sedition-Sec 124A IPC",0,0
"Daman & Diu","Sedition-Sec 124A IPC",0,0
"Delhi","Sedition-Sec 124A IPC",2,2
"Lakshadweep","Sedition-Sec 124A IPC",0,0
"Puducherry","Sedition-Sec 124A IPC",0,0
"Andhra Pradesh","Others-Sec-121-121A-122-123 IPC",0,0
"Arunachal Pradesh","Others-Sec-121-121A-122-123 IPC",2,2
"Assam","Others-Sec-121-121A-122-123 IPC",21,21
"Bihar","Others-Sec-121-121A-122-123 IPC",8,8
"Chhattisgarh","Others-Sec-121-121A-122-123 IPC",0,0
"Goa","Others-Sec-121-121A-122-123 IPC",0,0
"Gujarat","Others-Sec-121-121A-122-123 IPC",0,0
"Haryana","Others-Sec-121-121A-122-123 IPC",2,2
"Himachal Pradesh","Others-Sec-121-121A-122-123 IPC",0,0
"Jammu & Kashmir","Others-Sec-121-121A-122-123 IPC",16,16
"Jharkhand","Others-Sec-121-121A-122-123 IPC",0,0
"Karnataka","Others-Sec-121-121A-122-123 IPC",3,3
"Kerala","Others-Sec-121-121A-122-123 IPC",8,8
"Madhya Pradesh","Others-Sec-121-121A-122-123 IPC",0,0
"Maharashtra","Others-Sec-121-121A-122-123 IPC",0,0
"Manipur","Others-Sec-121-121A-122-123 IPC",8,8
"Meghalaya","Others-Sec-121-121A-122-123 IPC",42,39
"Mizoram","Others-Sec-121-121A-122-123 IPC",0,0
"Nagaland","Others-Sec-121-121A-122-123 IPC",5,5
"Odisha","Others-Sec-121-121A-122-123 IPC",17,17
"Punjab","Others-Sec-121-121A-122-123 IPC",0,0
"Rajasthan","Others-Sec-121-121A-122-123 IPC",1,1
"Sikkim","Others-Sec-121-121A-122-123 IPC",0,0
"Tamil Nadu","Others-Sec-121-121A-122-123 IPC",0,0
"Telangana","Others-Sec-121-121A-122-123 IPC",0,0
"Tripura","Others-Sec-121-121A-122-123 IPC",0,0
"Uttar Pradesh","Others-Sec-121-121A-122-123 IPC",3,3
"Uttarakhand","Others-Sec-121-121A-122-123 IPC",1,1
"West Bengal","Others-Sec-121-121A-122-123 IPC",6,6
"A & N Islands","Others-Sec-121-121A-122-123 IPC",0,0
"Chandigarh","Others-Sec-121-121A-122-123 IPC",0,0
"D&N Haveli","Others-Sec-121-121A-122-123 IPC",0,0
"Daman & Diu","Others-Sec-121-121A-122-123 IPC",0,0
"Delhi","Others-Sec-121-121A-122-123 IPC",0,0
"Lakshadweep","Others-Sec-121-121A-122-123 IPC",0,0
"Puducherry","Others-Sec-121-121A-122-123 IPC",0,0
"Andhra Pradesh","Unlawful Assembly-Sec 143-144- 145 IPC",303,341
"Arunachal Pradesh","Unlawful Assembly-Sec 143-144- 145 IPC",1,1
